Production Companies,Num_Movies,Total_Domestic_Box_Office,Total_Worldwide_Box_Office
Lotterywest,12,"$9,658,389","$35,863,648"
Screenwest,12,"$9,658,389","$35,863,648"
Nine Stories Productions,12,"$7,714,316","$17,639,716"
Utopia Films,12,"$5,094,602","$5,619,088"
Gunpowder and Sky,12,"$2,894,098","$6,339,934"
Showtime Documentary Films,12,"$2,485,401","$3,527,900"
FilmRise,12,"$1,601,365","$1,930,194"
Northern Ontario Heritage Fund Corporation,12,"$1,204,026","$2,745,130"
NDR,12,"$696,115","$1,346,308"
Zipper Brothers,12,"$676,461","$899,932"
SRG,12,"$473,296","$22,657,019"
ORF,12,"$435,425","$3,423,938"
British Film Company,12,"$415,545","$16,875,517"
Drafthouse Films,12,"$207,387","$7,648,760"
Doha Film Institute,12,"$190,706","$3,693,079"
101 Films,12,"$139,270","$14,638,038"
Raven Banner Entertainment,12,"$62,080","$210,263"
MarVista Entertainment,12,"$32,705","$33,394"
VMI Worldwide,12,"$22,233","$29,737"
Vision Films,12,"$7,051","$8,908"
Kinberg Genre,11,"$1,379,335,869","$3,888,822,901"
Tencent Pictures,11,"$1,014,568,912","$3,024,502,710"
Big Screen Prods,11,"$726,109,547","$2,282,559,153"
Lawrence Gordon,11,"$703,090,390","$1,335,500,841"
Troublemaker Studios,11,"$600,411,124","$1,370,393,955"
Image Nation,11,"$473,309,751","$1,381,359,492"
China Film Company,11,"$359,853,514","$2,795,317,310"
Apatow Productions,11,"$355,217,792","$475,930,642"
Smokehouse Pictures,11,"$352,736,628","$670,880,177"
Double Feature Films,11,"$298,581,978","$519,326,182"
IMAX Corporation,11,"$295,553,306","$441,324,529"
Impact Pictures,11,"$289,243,313","$1,417,754,412"
Pearl Street,11,"$238,718,689","$558,151,180"
TPS Star,11,"$178,399,693","$367,968,288"
Gilbert Films,11,"$175,064,514","$476,531,953"
G-Base,11,"$172,042,292","$346,442,947"
Intrepid Pictures,11,"$165,050,999","$312,597,609"
A&E Indiefilms,11,"$146,645,297","$357,941,619"
Bazelevs Company,11,"$138,592,509","$298,122,913"
Gloria Sanchez,11,"$132,844,673","$185,415,510"
PalmStar Media,11,"$115,272,344","$235,212,152"
Phantom Four,11,"$111,353,011","$217,367,700"
Argent Pictures,11,"$84,476,669","$187,652,343"
AI Film,11,"$70,407,174","$128,766,976"
Angel Studios,11,"$55,851,581","$56,675,212"
The Picture Company,11,"$53,851,722","$146,059,716"
TreeHouse Pictures,11,"$41,683,857","$103,702,960"
Picturestart,11,"$27,998,830","$40,626,351"
Telecinco Cinema,11,"$25,387,799","$398,821,531"
Shoebox Films,11,"$21,211,797","$62,018,225"
Excel Entertainment,11,"$15,200,177","$40,398,921"
Capstone Group LLC,11,"$12,825,235","$18,557,906"
Verdi Productions,11,"$12,184,083","$31,174,003"
Limelight,11,"$11,792,676","$31,333,123"
Micro_Scope,11,"$11,299,926","$46,593,630"
Sundial Pictures,11,"$10,281,414","$16,100,434"
Diaphana,11,"$9,965,297","$72,152,937"
Adelaide Film Festival,11,"$9,695,773","$23,449,907"
3311 Productions,11,"$8,353,722","$10,743,573"
The Bureau,11,"$7,768,771","$55,922,968"
Nexus Factory,11,"$6,686,821","$160,569,774"
Les Films Pelleas,11,"$5,234,418","$25,799,683"
Israel Film Fund,11,"$4,823,972","$8,105,324"
Mandarin Cinema,11,"$4,765,383","$109,053,038"
Caviar,11,"$4,443,454","$34,096,468"
Beijing Enlight Pictures,11,"$3,761,382","$1,065,279,448"
K5 International,11,"$3,519,393","$19,545,993"
Concordia Studio,11,"$3,053,528","$4,407,987"
Proximus,11,"$2,834,660","$23,755,141"
Centre Du Cinema Et L'Audiovisuel De La Federation Wallonie Bruxelles,11,"$2,027,823","$29,540,370"
Paper Street Films,11,"$1,752,993","$7,308,083"
SSS Film Capital,11,"$1,442,454","$1,956,817"
Movie Central,11,"$1,426,682","$7,835,166"
Kartemquin Films,11,"$1,266,271","$1,353,452"
Wavelength Films,11,"$1,237,002","$1,270,801"
Sandbox Films,11,"$1,163,165","$3,069,360"
Elevated,11,"$1,091,620","$14,846,085"
POV,11,"$735,707","$1,093,307"
ESX Entertainment,11,"$725,042","$725,514"
RTE,11,"$589,825","$5,292,190"
Manitoba Film & Music,11,"$570,262","$2,570,951"
Film Movement,11,"$472,473","$757,615"
42,11,"$205,135","$14,422,256"
RTS,11,"$161,183","$507,748"
Cleopatra Entertainment,11,"$44,736","$494,164"
Good Wizard,11,$0,"$1,131,256"
Dark Star Pictures,11,$0,"$2,983"
Rideback,10,"$740,612,239","$1,819,324,670"
Gil Netter Productions,10,"$714,491,535","$1,481,779,813"
87Eleven Inc.,10,"$561,931,557","$1,158,331,211"
Brownstone,10,"$448,702,470","$765,165,145"
Contrafilm,10,"$381,207,362","$897,102,615"
Mirage,10,"$355,802,865","$558,612,479"
Sikelia Productions,10,"$326,654,489","$879,640,694"
Intermedia Film,10,"$273,968,026","$593,693,238"
Feigco Entertainment,10,"$245,405,932","$515,060,468"
Mr. Mudd,10,"$207,575,892","$327,133,759"
OddLot Entertainment,10,"$183,036,751","$355,934,043"
87North,10,"$180,994,042","$372,647,410"
Mandalay Vision,10,"$176,125,637","$306,070,923"
Gran Via,10,"$133,327,301","$203,674,115"
Ruby Films,10,"$127,195,724","$251,727,440"
Zero Gravity Management,10,"$116,630,475","$199,256,377"
MadRiver Pictures,10,"$106,614,785","$227,824,845"
Company Films,10,"$104,266,728","$312,982,092"
Route One,10,"$95,156,116","$145,992,932"
Rainmaker Entertainment,10,"$87,616,425","$129,325,457"
Scion Films,10,"$73,815,113","$185,990,836"
Parallel Films,10,"$59,182,433","$98,214,060"
DJ Films,10,"$57,135,017","$222,574,110"
Diamond Film Productions,10,"$57,101,037","$142,319,574"
GKIDS,10,"$53,213,202","$235,851,312"
Global Road Entertainment,10,"$45,511,712","$87,845,393"
BNP Paribas Film Fund,10,"$42,218,938","$317,406,977"
Filmgate Films,10,"$41,716,752","$99,615,445"
Animal Kingdom,10,"$38,189,697","$64,049,672"
Archer Gray Productions,10,"$34,213,505","$55,550,717"
ARD/Degeto,10,"$31,704,257","$180,216,364"
Rooks Nest Entertainment,10,"$28,375,667","$44,011,920"
Divide/Conquer,10,"$25,587,659","$44,906,215"
El Deseo,10,"$24,472,505","$243,611,068"
Verisimilitude,10,"$23,781,522","$50,753,903"
Huayi Brothers International,10,"$22,429,226","$508,274,713"
Serendipity Point Films,10,"$21,710,665","$63,251,382"
Sovereign Films,10,"$18,982,252","$97,444,992"
Nostromo Pictures,10,"$14,832,512","$57,155,820"
Tempo Productions,10,"$14,422,538","$38,647,533"
THINKFilm,10,"$12,264,229","$54,246,576"
Jeff Rice Films,10,"$12,048,646","$14,047,786"
Haut et Court,10,"$11,288,843","$27,956,531"
Versus Productions,10,"$9,329,330","$22,135,784"
Taylor & Dodge,10,"$7,665,865","$15,723,816"
Pinewood Pictures,10,"$7,193,824","$34,212,918"
Rhea Films,10,"$6,124,377","$10,071,077"
Sight Unseen,10,"$5,294,857","$8,725,218"
Itaca Films,10,"$4,645,161","$8,375,330"
EM Media,10,"$4,155,175","$29,297,914"
Entre Chien et Loup,10,"$3,544,444","$21,796,932"
Twickenham Studios,10,"$2,998,905","$36,511,172"
Yari Film Group,10,"$2,825,355","$8,296,959"
National Geographic Documentary Films,10,"$2,233,045","$4,449,027"
Yehoshua Rabinovich Tel-Aviv Foundation for the Arts,10,"$1,753,567","$2,812,949"
INCAA,10,"$1,604,810","$12,421,706"
Vanishing Angle,10,"$1,554,068","$1,954,150"
Department of Motion Pictures,10,"$1,506,052","$2,311,486"
Headgear Films,10,"$1,475,910","$12,024,126"
Sky,10,"$1,342,073","$6,365,287"
Snowfort Pictures,10,"$1,051,077","$1,795,603"
Austrian Film Institute,10,"$830,966","$2,951,785"
Razor Films,10,"$804,852","$4,316,260"
Mitteldeutsche Medienfoerderung,10,"$773,834","$10,304,817"
SND,10,"$733,923","$49,581,978"
American Documentary,10,"$533,641","$905,279"
Wallimage,10,"$515,698","$22,901,797"
Bleiberg Entertainment,10,"$440,008","$1,662,035"
SSR,10,"$397,044","$20,793,147"
Darius Films,10,"$264,589","$1,870,293"
Field of Vision,10,"$222,038","$1,255,133"
Glass Eye Pix,10,"$172,626","$1,758,598"
1091 Media,10,"$151,307","$159,264"
Visit Films,10,"$69,065","$81,131"
Minds Eye Entertainment,10,"$22,233","$9,273,388"
Shoreline Entertainment,10,"$15,908","$400,793"
Samson Films,10,"$15,643","$1,465,817"
River Bay Films,10,"$14,000","$3,197,617"
Film Mode Entertainment,10,$0,"$142,377"
Premiere Entertainment Group,10,$0,"$96,029"
Carl Jackson Studios,10,$0,$0
Syncopy,9,"$2,332,500,980","$6,058,821,871"
PDI,9,"$1,939,291,688","$4,839,920,623"
Matt Tolmach Productions,9,"$1,031,204,446","$2,823,318,451"
Arad Productions,9,"$858,183,069","$2,268,989,334"
Imprint Entertainment,9,"$821,378,602","$1,827,557,482"
Mace Neufeld,9,"$748,460,578","$1,420,638,155"
Mattel Entertainment,9,"$640,057,085","$1,437,995,909"
A Band Apart,9,"$607,790,772","$1,488,979,841"
Gracie Films,9,"$595,298,169","$1,166,770,375"
Red Wagon Entertainment,9,"$592,747,124","$1,235,097,788"
Robert Simonds Company,9,"$572,556,971","$858,130,010"
Team Todd,9,"$570,179,906","$991,322,309"
Animal Logic,9,"$468,692,995","$1,145,158,369"
Trigger Street Productions,9,"$418,761,124","$1,113,992,763"
Twisted Pictures,9,"$388,566,650","$874,287,218"
Scholastic Entertainment Inc.,9,"$335,693,903","$913,397,533"
Aardman Animations,9,"$332,685,255","$1,083,686,364"
Alcor Films,9,"$319,629,315","$481,130,112"
Flower Films,9,"$297,192,272","$623,441,045"
Dino De Laurentiis,9,"$291,618,392","$548,994,142"
Le Grisbi,9,"$289,112,418","$540,166,993"
Jim Henson Productions,9,"$259,046,750","$320,776,875"
QED International,9,"$237,929,378","$638,568,953"
Lorimar Film Entertainment,9,"$229,663,263","$251,270,376"
Interscope Films,9,"$223,676,887","$450,408,931"
Outlier Productions,9,"$192,250,117","$324,843,388"
Electric City Entertainment,9,"$145,617,243","$275,405,702"
Paramount Vantage,9,"$121,658,551","$230,540,330"
Kingdom Story Company,9,"$109,030,803","$116,781,481"
AGBO,9,"$106,756,314","$157,766,781"
Northern Lights Films,9,"$104,620,870","$155,643,141"
Permut Presentations,9,"$101,042,015","$204,201,941"
Codeblack Films,9,"$100,930,948","$115,340,535"
Vendome Pictures,9,"$91,614,622","$345,231,688"
Sodec,9,"$75,618,053","$194,724,740"
Union Investment Partners,9,"$74,658,272","$102,470,963"
Gramercy Pictures,9,"$71,855,103","$82,959,103"
National Geographic Entertainment,9,"$70,968,080","$159,112,533"
Ecosse Films,9,"$67,768,156","$190,094,097"
Makeready,9,"$64,789,895","$80,932,434"
Boies/Schiller,9,"$62,240,426","$177,520,037"
Briarcliff Entertainment,9,"$60,143,172","$80,828,347"
Fragile Films,9,"$51,234,426","$161,513,958"
FilmFour,9,"$50,135,585","$162,821,710"
Millennium Entertainment,9,"$45,035,279","$119,438,225"
Item 7,9,"$40,549,924","$66,887,278"
After Dark Films,9,"$37,308,778","$65,874,877"
Warrior Poets,9,"$32,928,883","$75,057,045"
Caramel Film,9,"$32,731,616","$114,760,975"
Sailor Bear,9,"$30,771,554","$41,224,151"
Shivhans Pictures,9,"$29,124,775","$56,403,527"
2929 Productions,9,"$29,118,173","$62,490,940"
Rising Star Productions,9,"$25,218,541","$92,389,645"
Journeyman Pictures,9,"$16,876,765","$29,860,995"
Topic Studios,9,"$16,856,130","$27,283,092"
Brightlight Pictures,9,"$12,844,392","$25,880,023"
Romulus Entertainment,9,"$11,559,130","$17,677,419"
Movistar Plus,9,"$9,705,587","$122,997,642"
Blackbird,9,"$9,526,278","$14,823,539"
ARC Entertainment,9,"$9,152,313","$20,631,513"
Celluloid Dreams,9,"$8,485,555","$26,463,283"
Centre National de la Cinematographie,9,"$6,937,018","$78,677,689"
Sveriges Television,9,"$6,776,835","$48,428,160"
Filmscience,9,"$5,264,166","$8,369,863"
CG Cinema,9,"$5,232,256","$21,283,901"
Telefe,9,"$4,329,171","$63,208,697"
Super Crispy Entertainment,9,"$4,017,559","$4,613,380"
Vulcan Productions,9,"$3,177,983","$3,942,897"
Non-Stop Productions,9,"$3,099,146","$91,306,929"
Spectrum Films,9,"$2,793,139","$6,664,387"
Preferred Content,9,"$2,591,958","$8,772,451"
Warp Films,9,"$2,560,754","$35,167,034"
American Masters,9,"$1,994,167","$4,213,174"
Focus World,9,"$1,921,978","$15,263,952"
Double Dutch International,9,"$1,865,396","$4,309,403"
Broadcasting Authority of Ireland,9,"$1,849,314","$10,193,332"
National Film Board of Canada,9,"$1,786,959","$3,228,681"
Dogwoof,9,"$1,736,277","$2,266,046"
First Generation Films,9,"$1,688,723","$24,517,716"
Creativity Capital,9,"$1,437,726","$4,469,880"
Rectangle Productions,9,"$1,336,425","$4,055,165"
Nord-Quest Films,9,"$1,311,498","$36,590,474"
Fulcrum Media Finance,9,"$1,304,114","$12,216,217"
Beachside,9,"$1,195,449","$3,893,170"
WestEnd Films,9,"$1,013,078","$11,466,339"
Louverture Films,9,"$950,963","$2,615,214"
Salem Street Entertainment,9,"$939,830","$963,587"
Gamechanger,9,"$939,538","$1,204,926"
MFG Film Funding Baden Wuerttemberg,9,"$791,194","$1,444,673"
Sprockefeller Pictures,9,"$741,855","$5,465,271"
The Independent Television Service,9,"$641,367","$918,665"
XTR,9,"$572,539","$818,230"
Cineforom,9,"$476,398","$10,992,584"
Yes Docu,9,"$319,588","$840,071"
Hopscotch Films,9,"$310,580","$2,667,658"
Sun Entertainment Culture,9,"$272,699","$290,865,995"
CrossDay Productions,9,"$263,641","$5,163,292"
Defiant Pictures,9,"$138,655","$503,901"
Bertha Foundation,9,"$136,532","$811,052"
Monterey Media,9,"$131,201","$198,727"
Silver Screen,9,"$114,527","$2,092,300"
Premiere Picture,9,"$113,760","$1,834,464"
Relic Pictures,9,"$108,506","$3,844,815"
American High,9,"$101,508","$101,508"
Cinetel Films,9,"$93,051","$1,500,338"
Brainstorm Media,9,"$59,629","$113,467"
Particular Crowd,9,"$54,364","$425,669"
Subotica Ltd,9,"$43,830","$1,625,087"
Dignity Film Finance,9,"$43,667","$6,394,643"
Augenschein Filmproduktion,9,"$2,578","$493,496"
Freestyle Digital Media,9,$0,$0
Lightstorm Entertainment,8,"$1,871,343,621","$6,088,462,440"
Bad Hat Harry Productions,8,"$1,041,487,477","$2,735,381,962"
Everyman Pictures,8,"$838,803,963","$1,453,096,602"
Jerry Weintraub,8,"$684,289,828","$1,354,271,354"
Alphaville,8,"$680,790,937","$1,687,802,775"
DMG Entertainment,8,"$624,771,531","$1,754,779,537"
Monkeypaw Pictures,8,"$607,814,628","$874,406,699"
Cube Vision,8,"$590,237,799","$687,520,633"
Tapestry Films,8,"$414,337,037","$571,280,495"
Dickhouse,8,"$414,037,186","$571,939,128"
Ghost House Pictures,8,"$387,121,091","$704,109,447"
Reuben Cannon Productions,8,"$366,137,610","$367,930,621"
Laika,8,"$300,158,323","$563,767,472"
Offspring Entertainment,8,"$273,053,830","$726,158,033"
Infinitum Nihil,8,"$264,272,213","$751,129,772"
Image Entertainment,8,"$208,236,506","$555,441,803"
Ambi Media Group,8,"$189,979,295","$263,599,251"
Overture Films,8,"$183,983,289","$311,771,376"
China Film Group,8,"$176,830,538","$792,948,523"
Gulfstream Pictures,8,"$174,597,610","$364,200,098"
Berlanti Productions,8,"$156,714,918","$474,999,765"
Right of Way Films,8,"$142,937,754","$268,611,792"
Media Asia Films,8,"$133,263,457","$482,834,149"
Edko Films,8,"$129,631,154","$1,049,494,590"
Gravier Productions,8,"$125,085,930","$470,108,074"
Astral Media,8,"$119,053,359","$128,628,545"
Free Association,8,"$115,590,344","$190,022,778"
Exhibit A Pictures,8,"$105,986,406","$192,978,107"
Entertainment 360,8,"$95,298,562","$192,333,355"
Wildwood Enterprises,8,"$94,021,967","$138,362,846"
Alloy Entertainment,8,"$91,563,618","$121,966,662"
SpringHill Entertainment,8,"$79,603,479","$152,401,109"
Revelations Entertainment,8,"$75,516,252","$110,759,337"
Bim Distribuzione,8,"$74,619,953","$207,694,062"
MWM Studios,8,"$68,170,318","$109,423,906"
Mediapro,8,"$60,705,572","$209,701,832"
Blue Tongue Films,8,"$56,696,604","$86,776,323"
Wildgaze Films,8,"$54,554,607","$106,841,270"
Amasia Entertainment,8,"$52,279,731","$72,310,806"
Wonderful Films,8,"$52,207,444","$60,279,520"
BH Tilt,8,"$49,533,970","$67,145,412"
Nippon Television Network,8,"$47,249,632","$988,129,286"
Silverwood Films,8,"$44,799,196","$57,712,354"
Lotus Entertainment,8,"$39,695,895","$58,082,435"
Potboiler Productions,8,"$38,528,369","$114,110,708"
Los Angeles Media Fund,8,"$36,149,462","$57,277,364"
Echo Films,8,"$29,726,457","$58,292,835"
Armory Films,8,"$23,737,722","$33,553,061"
Cinelou Films,8,"$20,034,973","$66,234,234"
Copperheart Entertainment,8,"$17,080,590","$28,998,085"
Awesomeness Films,8,"$12,241,072","$18,945,682"
Institut Francais,8,"$10,641,838","$27,910,138"
Artina Films,8,"$10,630,969","$48,260,274"
Lemming Film,8,"$9,205,639","$18,448,993"
Roadshow Films,8,"$8,868,181","$127,589,658"
Egoli Tossell Film,8,"$8,670,742","$49,266,697"
Park Pictures,8,"$8,278,564","$8,413,401"
Indigo Film,8,"$7,335,776","$80,784,966"
History Films,8,"$7,120,077","$11,288,342"
R U Robot,8,"$6,120,693","$12,773,891"
Red Bull Media House,8,"$5,885,772","$8,185,016"
The Film Arcade,8,"$5,353,996","$5,435,485"
Viacom 18,8,"$5,105,915","$32,914,680"
Three Point Capital,8,"$4,792,070","$12,720,333"
Low Spark Films,8,"$4,538,381","$7,364,632"
Nordic Film and TV Fund,8,"$4,089,181","$14,724,976"
Regione Lazio,8,"$3,896,877","$49,323,418"
Rook Films,8,"$3,830,373","$6,818,105"
Snowglobe,8,"$3,704,202","$11,906,152"
Film House Germany,8,"$3,636,430","$18,971,039"
Picture Perfect Corporation,8,"$2,670,265","$10,199,296"
Eros International.,8,"$2,582,777","$10,866,357"
Mutressa Movies,8,"$2,395,283","$4,071,472"
The Avenue,8,"$2,310,158","$7,304,921"
Tornasol Films,8,"$2,272,845","$51,645,378"
Shudder,8,"$2,222,931","$2,804,940"
Senator Film Produktion,8,"$2,037,851","$30,987,850"
Distant Horizon,8,"$1,941,652","$8,757,311"
Fred Films,8,"$1,901,367","$41,439,319"
Motlys,8,"$1,897,494","$7,187,930"
Super Ltd,8,"$1,883,278","$6,803,794"
MetalWork Pictures,8,"$1,880,337","$11,701,006"
Hubert Bals Fund,8,"$1,772,836","$7,578,604"
Filmforderungsanstalt,8,"$1,617,886","$25,679,475"
ICAA,8,"$1,253,071","$13,039,603"
YLE Finland,8,"$1,219,907","$14,102,262"
Angoa Intl,8,"$1,210,989","$22,821,993"
Moxie Pictures,8,"$1,160,458","$1,160,458"
Le Pacte,8,"$1,115,384","$29,784,029"
Keshet,8,"$1,082,773","$1,254,820"
Heyi Pictures,8,"$1,071,589","$340,515,278"
BR,8,"$1,012,723","$8,749,022"
Shaw Rocket Fund,8,"$978,944","$9,216,080"
Oddfellows Entertainment,8,"$873,813","$960,918"
Pie Films,8,"$800,893","$2,683,823"
Globo Filmes,8,"$739,585","$6,238,764"
Panache Productions,8,"$731,895","$63,618,226"
MPI Media Group,8,"$647,201","$8,622,882"
Pictanovo,8,"$494,978","$16,616,652"
Arcadia Motion Pictures,8,"$490,038","$5,087,664"
Ad Vitam,8,"$464,466","$21,861,403"
Les Films d'Ici,8,"$464,455","$3,464,747"
Carte Blanche Cinema,8,"$422,579","$2,049,346"
Night & Day Pictures,8,"$417,657","$423,578"
Aloe Entertainment,8,"$291,477","$607,711"
Magnet Films,8,"$279,676","$4,683,310"
Shelter Productions,8,"$198,481","$7,444,113"
Vega Film,8,"$164,111","$1,760,114"
Taxsheler.be,8,"$113,991","$9,651,963"
Roxwell Films,8,"$71,544","$136,525"
SQN Capital,8,"$71,437","$2,797,251"
Nikkatsu,8,"$52,087","$552,903"
Phase 4 Films,8,"$38,856","$38,856"
Factory 25,8,"$37,191","$37,191"
13 Films,8,"$32,452","$731,431"
HBO Europe,8,"$26,105","$585,262"
